n	d.pop	meand	over	meand.all	over.all
20	0.2	0.791880155808177	3.95940077904089	0.201680466092487	1.00840233046243
40	0.2	0.573092424806917	2.86546212403458	0.20653631855817	1.03268159279085
60	0.2	0.459024885024114	2.29512442512057	0.190174913927185	0.950874569635923
80	0.2	0.411020098075289	2.05510049037645	0.211257325419995	1.05628662709997
100	0.2	0.370187821672357	1.85093910836178	0.199832582173665	0.999162910868323
20	0.5	0.862434994685416	1.72486998937083	0.498842290231193	0.997684580462387
40	0.5	0.649062348345035	1.29812469669007	0.513550699896999	1.027101399794
60	0.5	0.581038285770304	1.16207657154061	0.508984621494273	1.01796924298855
80	0.5	0.539355448761466	1.07871089752293	0.503004408628349	1.0060088172567
100	0.5	0.513681077119424	1.02736215423885	0.497023841817707	0.994047683635413
20	0.8	0.960286152052204	1.20035769006526	0.813987511059238	1.01748438882405
40	0.8	0.829592089314067	1.03699011164258	0.805336347526992	1.00667043440874
60	0.8	0.811700519905902	1.01462564988238	0.808762565531607	1.01095320691451
80	0.8	0.804683201672509	1.00585400209064	0.804683201672509	1.00585400209064
100	0.8	0.80871367456468	1.01089209320585	0.80871367456468	1.01089209320585
